YearQuarter,Industry,Gender,Number of Full-Time Equivalent Employees
1995Q4,Forestry and Mining,Female,1000
1996Q1,Forestry and Mining,Female,1200
1996Q2,Forestry and Mining,Female,900
1996Q3,Forestry and Mining,Female,1000
1996Q4,Forestry and Mining,Female,1000
1997Q1,Forestry and Mining,Female,1200
1997Q2,Forestry and Mining,Female,900
1997Q3,Forestry and Mining,Female,1000
1997Q4,Forestry and Mining,Female,900
1998Q1,Forestry and Mining,Female,1300
1998Q2,Forestry and Mining,Female,900
1998Q3,Forestry and Mining,Female,900
1998Q4,Forestry and Mining,Female,900
1999Q1,Forestry and Mining,Female,800
1999Q2,Forestry and Mining,Female,800
1999Q3,Forestry and Mining,Female,800
1999Q4,Forestry and Mining,Female,800
2000Q1,Forestry and Mining,Female,900
2000Q2,Forestry and Mining,Female,800
2000Q3,Forestry and Mining,Female,1000
2000Q4,Forestry and Mining,Female,1000
2001Q1,Forestry and Mining,Female,1000
2001Q2,Forestry and Mining,Female,800
2001Q3,Forestry and Mining,Female,900
2001Q4,Forestry and Mining,Female,1000
2002Q1,Forestry and Mining,Female,1000
2002Q2,Forestry and Mining,Female,1000
2002Q3,Forestry and Mining,Female,1000
2002Q4,Forestry and Mining,Female,1100
2003Q1,Forestry and Mining,Female,1100
2003Q2,Forestry and Mining,Female,1100
2003Q3,Forestry and Mining,Female,1000
2003Q4,Forestry and Mining,Female,1100
2004Q1,Forestry and Mining,Female,1100
2004Q2,Forestry and Mining,Female,1000
2004Q3,Forestry and Mining,Female,1000
2004Q4,Forestry and Mining,Female,1100
2005Q1,Forestry and Mining,Female,1000
2005Q2,Forestry and Mining,Female,900
2005Q3,Forestry and Mining,Female,800
2005Q4,Forestry and Mining,Female,800
2006Q1,Forestry and Mining,Female,800
2006Q2,Forestry and Mining,Female,800
2006Q3,Forestry and Mining,Female,900
2006Q4,Forestry and Mining,Female,900
2007Q1,Forestry and Mining,Female,700
2007Q2,Forestry and Mining,Female,700
2007Q3,Forestry and Mining,Female,700
2007Q4,Forestry and Mining,Female,800
2008Q1,Forestry and Mining,Female,700
2008Q2,Forestry and Mining,Female,700
2008Q3,Forestry and Mining,Female,700
2008Q4,Forestry and Mining,Female,700
2009Q1,Forestry and Mining,Female,700
2009Q2,Forestry and Mining,Female,700
2009Q3,Forestry and Mining,Female,900
2009Q4,Forestry and Mining,Female,800
2010Q1,Forestry and Mining,Female,1000
2010Q2,Forestry and Mining,Female,1000
2010Q3,Forestry and Mining,Female,1100
2010Q4,Forestry and Mining,Female,1100
2011Q1,Forestry and Mining,Female,1000
2011Q2,Forestry and Mining,Female,1100
2011Q3,Forestry and Mining,Female,1000
2011Q4,Forestry and Mining,Female,1200
2012Q1,Forestry and Mining,Female,1500
2012Q2,Forestry and Mining,Female,1100
2012Q3,Forestry and Mining,Female,1200
2012Q4,Forestry and Mining,Female,1200
2013Q1,Forestry and Mining,Female,1200
2013Q2,Forestry and Mining,Female,1200
2013Q3,Forestry and Mining,Female,1100
2013Q4,Forestry and Mining,Female,1100
2014Q1,Forestry and Mining,Female,900
2014Q2,Forestry and Mining,Female,1000
2014Q3,Forestry and Mining,Female,1200
2014Q4,Forestry and Mining,Female,1100
2015Q1,Forestry and Mining,Female,1000
2015Q2,Forestry and Mining,Female,1000
2015Q3,Forestry and Mining,Female,900
2015Q4,Forestry and Mining,Female,800
2016Q1,Forestry and Mining,Female,1000
2016Q2,Forestry and Mining,Female,1500
2016Q3,Forestry and Mining,Female,1400
2016Q4,Forestry and Mining,Female,1400
2017Q1,Forestry and Mining,Female,1100
2017Q2,Forestry and Mining,Female,1200
2017Q3,Forestry and Mining,Female,1200
2017Q4,Forestry and Mining,Female,1200
2018Q1,Forestry and Mining,Female,1300
2018Q2,Forestry and Mining,Female,1200
2018Q3,Forestry and Mining,Female,1200
2018Q4,Forestry and Mining,Female,1200
1989Q1,Forestry and Mining,Both Sexes,10900
1989Q2,Forestry and Mining,Both Sexes,9900
1989Q3,Forestry and Mining,Both Sexes,9500
1989Q4,Forestry and Mining,Both Sexes,9100
1990Q1,Forestry and Mining,Both Sexes,9100
1990Q2,Forestry and Mining,Both Sexes,8600
1990Q3,Forestry and Mining,Both Sexes,9200
1990Q4,Forestry and Mining,Both Sexes,8800
1991Q1,Forestry and Mining,Both Sexes,9500
1991Q2,Forestry and Mining,Both Sexes,8900
1991Q3,Forestry and Mining,Both Sexes,9000
1991Q4,Forestry and Mining,Both Sexes,9000
1992Q1,Forestry and Mining,Both Sexes,9800
1992Q2,Forestry and Mining,Both Sexes,8900
1992Q3,Forestry and Mining,Both Sexes,9000
1992Q4,Forestry and Mining,Both Sexes,8800
1993Q1,Forestry and Mining,Both Sexes,10500
1993Q2,Forestry and Mining,Both Sexes,9400
1993Q3,Forestry and Mining,Both Sexes,9600
1993Q4,Forestry and Mining,Both Sexes,9600
1994Q1,Forestry and Mining,Both Sexes,11600
1994Q2,Forestry and Mining,Both Sexes,11300
1994Q3,Forestry and Mining,Both Sexes,11300
1994Q4,Forestry and Mining,Both Sexes,10800
1995Q1,Forestry and Mining,Both Sexes,12200
1995Q2,Forestry and Mining,Both Sexes,11100
1995Q3,Forestry and Mining,Both Sexes,11300
1995Q4,Forestry and Mining,Both Sexes,11200
1996Q1,Forestry and Mining,Both Sexes,12400
1996Q2,Forestry and Mining,Both Sexes,9700
1996Q3,Forestry and Mining,Both Sexes,10900
1996Q4,Forestry and Mining,Both Sexes,10900
1997Q1,Forestry and Mining,Both Sexes,12100
1997Q2,Forestry and Mining,Both Sexes,10700
1997Q3,Forestry and Mining,Both Sexes,11000
1997Q4,Forestry and Mining,Both Sexes,10400
1998Q1,Forestry and Mining,Both Sexes,12200
1998Q2,Forestry and Mining,Both Sexes,10400
1998Q3,Forestry and Mining,Both Sexes,9900
1998Q4,Forestry and Mining,Both Sexes,9600
1999Q1,Forestry and Mining,Both Sexes,9200
1999Q2,Forestry and Mining,Both Sexes,9100
1999Q3,Forestry and Mining,Both Sexes,9500
1999Q4,Forestry and Mining,Both Sexes,9900
2000Q1,Forestry and Mining,Both Sexes,8800
2000Q2,Forestry and Mining,Both Sexes,9100
2000Q3,Forestry and Mining,Both Sexes,8900
2000Q4,Forestry and Mining,Both Sexes,9500
2001Q1,Forestry and Mining,Both Sexes,9300
2001Q2,Forestry and Mining,Both Sexes,9400
2001Q3,Forestry and Mining,Both Sexes,9400
2001Q4,Forestry and Mining,Both Sexes,10700
2002Q1,Forestry and Mining,Both Sexes,11000
2002Q2,Forestry and Mining,Both Sexes,11600
2002Q3,Forestry and Mining,Both Sexes,12300
2002Q4,Forestry and Mining,Both Sexes,12800
2003Q1,Forestry and Mining,Both Sexes,12300
2003Q2,Forestry and Mining,Both Sexes,12600
2003Q3,Forestry and Mining,Both Sexes,12600
2003Q4,Forestry and Mining,Both Sexes,11600
2004Q1,Forestry and Mining,Both Sexes,11400
2004Q2,Forestry and Mining,Both Sexes,11700
2004Q3,Forestry and Mining,Both Sexes,11800
2004Q4,Forestry and Mining,Both Sexes,11200
2005Q1,Forestry and Mining,Both Sexes,11100
2005Q2,Forestry and Mining,Both Sexes,10600
2005Q3,Forestry and Mining,Both Sexes,10300
2005Q4,Forestry and Mining,Both Sexes,10500
2006Q1,Forestry and Mining,Both Sexes,10600
2006Q2,Forestry and Mining,Both Sexes,10900
2006Q3,Forestry and Mining,Both Sexes,11100
2006Q4,Forestry and Mining,Both Sexes,11500
2007Q1,Forestry and Mining,Both Sexes,9900
2007Q2,Forestry and Mining,Both Sexes,10500
2007Q3,Forestry and Mining,Both Sexes,11500
2007Q4,Forestry and Mining,Both Sexes,11300
2008Q1,Forestry and Mining,Both Sexes,10900
2008Q2,Forestry and Mining,Both Sexes,11000
2008Q3,Forestry and Mining,Both Sexes,10200
2008Q4,Forestry and Mining,Both Sexes,10200
2009Q1,Forestry and Mining,Both Sexes,10000
2009Q2,Forestry and Mining,Both Sexes,10000
2009Q3,Forestry and Mining,Both Sexes,10900
2009Q4,Forestry and Mining,Both Sexes,10300
2010Q1,Forestry and Mining,Both Sexes,10500
2010Q2,Forestry and Mining,Both Sexes,11100
2010Q3,Forestry and Mining,Both Sexes,11300
2010Q4,Forestry and Mining,Both Sexes,10600
2011Q1,Forestry and Mining,Both Sexes,10800
2011Q2,Forestry and Mining,Both Sexes,10500
2011Q3,Forestry and Mining,Both Sexes,10500
2011Q4,Forestry and Mining,Both Sexes,10800
2012Q1,Forestry and Mining,Both Sexes,11300
2012Q2,Forestry and Mining,Both Sexes,10800
2012Q3,Forestry and Mining,Both Sexes,11500
2012Q4,Forestry and Mining,Both Sexes,11000
2013Q1,Forestry and Mining,Both Sexes,11100
2013Q2,Forestry and Mining,Both Sexes,11400
2013Q3,Forestry and Mining,Both Sexes,11500
2013Q4,Forestry and Mining,Both Sexes,11000
2014Q1,Forestry and Mining,Both Sexes,10200
2014Q2,Forestry and Mining,Both Sexes,10100
2014Q3,Forestry and Mining,Both Sexes,9900
2014Q4,Forestry and Mining,Both Sexes,9000
2015Q1,Forestry and Mining,Both Sexes,9100
2015Q2,Forestry and Mining,Both Sexes,9000
2015Q3,Forestry and Mining,Both Sexes,8300
2015Q4,Forestry and Mining,Both Sexes,7900
2016Q1,Forestry and Mining,Both Sexes,8300
2016Q2,Forestry and Mining,Both Sexes,9300
2016Q3,Forestry and Mining,Both Sexes,9300
2016Q4,Forestry and Mining,Both Sexes,9500
2017Q1,Forestry and Mining,Both Sexes,9200
2017Q2,Forestry and Mining,Both Sexes,9400
2017Q3,Forestry and Mining,Both Sexes,9300
2017Q4,Forestry and Mining,Both Sexes,9400
2018Q1,Forestry and Mining,Both Sexes,8900
2018Q2,Forestry and Mining,Both Sexes,8700
2018Q3,Forestry and Mining,Both Sexes,8700
2018Q4,Forestry and Mining,Both Sexes,8800
1989Q1,Manufacturing,Male,162200
1989Q2,Manufacturing,Male,159600
1989Q3,Manufacturing,Male,148300
1989Q4,Manufacturing,Male,146500
1990Q1,Manufacturing,Male,151600
1990Q2,Manufacturing,Male,151300
1990Q3,Manufacturing,Male,142200
1990Q4,Manufacturing,Male,142900
1991Q1,Manufacturing,Male,147100
1991Q2,Manufacturing,Male,144500
1991Q3,Manufacturing,Male,131500
1991Q4,Manufacturing,Male,134200
1992Q1,Manufacturing,Male,140000
1992Q2,Manufacturing,Male,141900
1992Q3,Manufacturing,Male,131700
1992Q4,Manufacturing,Male,136900
1993Q1,Manufacturing,Male,142900
1993Q2,Manufacturing,Male,145400
1993Q3,Manufacturing,Male,139500
1993Q4,Manufacturing,Male,143500
1994Q1,Manufacturing,Male,147100
1994Q2,Manufacturing,Male,153600
1994Q3,Manufacturing,Male,146500
1994Q4,Manufacturing,Male,150600
1995Q1,Manufacturing,Male,152700
1995Q2,Manufacturing,Male,158600
1995Q3,Manufacturing,Male,152700
1995Q4,Manufacturing,Male,154300
1996Q1,Manufacturing,Male,154300
1996Q2,Manufacturing,Male,160700
1996Q3,Manufacturing,Male,152700
1996Q4,Manufacturing,Male,155000
1997Q1,Manufacturing,Male,152100
1997Q2,Manufacturing,Male,155100
1997Q3,Manufacturing,Male,148000
1997Q4,Manufacturing,Male,149400
1998Q1,Manufacturing,Male,147600
1998Q2,Manufacturing,Male,149200
1998Q3,Manufacturing,Male,142000
1998Q4,Manufacturing,Male,141800
1999Q1,Manufacturing,Male,146700
1999Q2,Manufacturing,Male,143900
1999Q3,Manufacturing,Male,137500
1999Q4,Manufacturing,Male,140700
2000Q1,Manufacturing,Male,144700
2000Q2,Manufacturing,Male,140600
2000Q3,Manufacturing,Male,136900
2000Q4,Manufacturing,Male,140900
2001Q1,Manufacturing,Male,145100
2001Q2,Manufacturing,Male,143300
2001Q3,Manufacturing,Male,140300
2001Q4,Manufacturing,Male,148100
2002Q1,Manufacturing,Male,153300
2002Q2,Manufacturing,Male,149400
2002Q3,Manufacturing,Male,141400
2002Q4,Manufacturing,Male,149400
2003Q1,Manufacturing,Male,154500
2003Q2,Manufacturing,Male,150300
2003Q3,Manufacturing,Male,143800
2003Q4,Manufacturing,Male,153500
2004Q1,Manufacturing,Male,156700
2004Q2,Manufacturing,Male,156300
2004Q3,Manufacturing,Male,150500
2004Q4,Manufacturing,Male,151000
2005Q1,Manufacturing,Male,156700
2005Q2,Manufacturing,Male,155300
2005Q3,Manufacturing,Male,147800
2005Q4,Manufacturing,Male,150900
2006Q1,Manufacturing,Male,152800
2006Q2,Manufacturing,Male,151900
2006Q3,Manufacturing,Male,141800
2006Q4,Manufacturing,Male,147800
2007Q1,Manufacturing,Male,149900
2007Q2,Manufacturing,Male,147600
2007Q3,Manufacturing,Male,144900
2007Q4,Manufacturing,Male,150300
2008Q1,Manufacturing,Male,154000
2008Q2,Manufacturing,Male,154900
2008Q3,Manufacturing,Male,144000
2008Q4,Manufacturing,Male,142400
2009Q1,Manufacturing,Male,141200
2009Q2,Manufacturing,Male,136700
2009Q3,Manufacturing,Male,130800
2009Q4,Manufacturing,Male,133400
2010Q1,Manufacturing,Male,136900
2010Q2,Manufacturing,Male,136100
2010Q3,Manufacturing,Male,131400
2010Q4,Manufacturing,Male,132800
2011Q1,Manufacturing,Male,135600
2011Q2,Manufacturing,Male,132200
2011Q3,Manufacturing,Male,128600
2011Q4,Manufacturing,Male,126700
2012Q1,Manufacturing,Male,132800
2012Q2,Manufacturing,Male,130900
2012Q3,Manufacturing,Male,126400
2012Q4,Manufacturing,Male,127800
2013Q1,Manufacturing,Male,130100
2013Q2,Manufacturing,Male,130100
2013Q3,Manufacturing,Male,127900
2013Q4,Manufacturing,Male,128300
2014Q1,Manufacturing,Male,130900
2014Q2,Manufacturing,Male,130600
2014Q3,Manufacturing,Male,127800
2014Q4,Manufacturing,Male,129500
2015Q1,Manufacturing,Male,135300
2015Q2,Manufacturing,Male,134000
2015Q3,Manufacturing,Male,129100
2015Q4,Manufacturing,Male,129400
2016Q1,Manufacturing,Male,132800
2016Q2,Manufacturing,Male,131700
2016Q3,Manufacturing,Male,126400
2016Q4,Manufacturing,Male,126200
2017Q1,Manufacturing,Male,131300
2017Q2,Manufacturing,Male,133200
2017Q3,Manufacturing,Male,129400
2017Q4,Manufacturing,Male,130100
2018Q1,Manufacturing,Male,134800
2018Q2,Manufacturing,Male,130500
2018Q3,Manufacturing,Male,129600
2018Q4,Manufacturing,Male,129600
1989Q1,Manufacturing,Female,62300
1989Q2,Manufacturing,Female,59500
1989Q3,Manufacturing,Female,57100
1989Q4,Manufacturing,Female,57200
1990Q1,Manufacturing,Female,59400
1990Q2,Manufacturing,Female,55900
1990Q3,Manufacturing,Female,54800
1990Q4,Manufacturing,Female,54700
1991Q1,Manufacturing,Female,57000
1991Q2,Manufacturing,Female,53700
1991Q3,Manufacturing,Female,50600
1991Q4,Manufacturing,Female,50500
1992Q1,Manufacturing,Female,54100
1992Q2,Manufacturing,Female,51400
1992Q3,Manufacturing,Female,50700
1992Q4,Manufacturing,Female,51900
1993Q1,Manufacturing,Female,55000
1993Q2,Manufacturing,Female,53000
1993Q3,Manufacturing,Female,53100
1993Q4,Manufacturing,Female,54000
1994Q1,Manufacturing,Female,58000
1994Q2,Manufacturing,Female,56300
1994Q3,Manufacturing,Female,56100
1994Q4,Manufacturing,Female,57500
1995Q1,Manufacturing,Female,60800
1995Q2,Manufacturing,Female,58800
1995Q3,Manufacturing,Female,57800
1995Q4,Manufacturing,Female,58000
1996Q1,Manufacturing,Female,60100
1996Q2,Manufacturing,Female,59200
1996Q3,Manufacturing,Female,57900
1996Q4,Manufacturing,Female,57600
1997Q1,Manufacturing,Female,57700
1997Q2,Manufacturing,Female,56900
1997Q3,Manufacturing,Female,55000
1997Q4,Manufacturing,Female,55400
1998Q1,Manufacturing,Female,55700
1998Q2,Manufacturing,Female,54500
1998Q3,Manufacturing,Female,53100
1998Q4,Manufacturing,Female,52600
1999Q1,Manufacturing,Female,53600
1999Q2,Manufacturing,Female,53800
1999Q3,Manufacturing,Female,52700
1999Q4,Manufacturing,Female,54200
2000Q1,Manufacturing,Female,55200
2000Q2,Manufacturing,Female,54200
2000Q3,Manufacturing,Female,53500
2000Q4,Manufacturing,Female,54400
2001Q1,Manufacturing,Female,55100
2001Q2,Manufacturing,Female,54500
2001Q3,Manufacturing,Female,53500
2001Q4,Manufacturing,Female,55400
2002Q1,Manufacturing,Female,56100
2002Q2,Manufacturing,Female,55800
2002Q3,Manufacturing,Female,55000
2002Q4,Manufacturing,Female,56700
2003Q1,Manufacturing,Female,57500
2003Q2,Manufacturing,Female,56000
2003Q3,Manufacturing,Female,54100
2003Q4,Manufacturing,Female,54600
2004Q1,Manufacturing,Female,56300
2004Q2,Manufacturing,Female,56800
2004Q3,Manufacturing,Female,54800
2004Q4,Manufacturing,Female,54900
2005Q1,Manufacturing,Female,55700
2005Q2,Manufacturing,Female,54200
2005Q3,Manufacturing,Female,52700
2005Q4,Manufacturing,Female,52900
2006Q1,Manufacturing,Female,53100
2006Q2,Manufacturing,Female,52600
2006Q3,Manufacturing,Female,50000
2006Q4,Manufacturing,Female,52000
2007Q1,Manufacturing,Female,53200
2007Q2,Manufacturing,Female,51700
2007Q3,Manufacturing,Female,48500
2007Q4,Manufacturing,Female,50100
2008Q1,Manufacturing,Female,50900
2008Q2,Manufacturing,Female,50700
2008Q3,Manufacturing,Female,47600
2008Q4,Manufacturing,Female,46800
2009Q1,Manufacturing,Female,46600
2009Q2,Manufacturing,Female,43300
2009Q3,Manufacturing,Female,41400
2009Q4,Manufacturing,Female,43200
2010Q1,Manufacturing,Female,43200
2010Q2,Manufacturing,Female,42800
2010Q3,Manufacturing,Female,39500
2010Q4,Manufacturing,Female,40500
2011Q1,Manufacturing,Female,43100
2011Q2,Manufacturing,Female,42600
2011Q3,Manufacturing,Female,40000
2011Q4,Manufacturing,Female,40500
2012Q1,Manufacturing,Female,42500
2012Q2,Manufacturing,Female,41600
2012Q3,Manufacturing,Female,39200
2012Q4,Manufacturing,Female,39100
2013Q1,Manufacturing,Female,41700
2013Q2,Manufacturing,Female,41000
2013Q3,Manufacturing,Female,40100
2013Q4,Manufacturing,Female,40800
2014Q1,Manufacturing,Female,42500
2014Q2,Manufacturing,Female,41400
2014Q3,Manufacturing,Female,40000
2014Q4,Manufacturing,Female,40300
2015Q1,Manufacturing,Female,43400
2015Q2,Manufacturing,Female,42100
2015Q3,Manufacturing,Female,39900
2015Q4,Manufacturing,Female,41500
2016Q1,Manufacturing,Female,42400
2016Q2,Manufacturing,Female,43400
2016Q3,Manufacturing,Female,41300
2016Q4,Manufacturing,Female,41700
2017Q1,Manufacturing,Female,42600
2017Q2,Manufacturing,Female,44000
2017Q3,Manufacturing,Female,42100
2017Q4,Manufacturing,Female,41800
2018Q1,Manufacturing,Female,43900
2018Q2,Manufacturing,Female,44200
2018Q3,Manufacturing,Female,43100
2018Q4,Manufacturing,Female,45200
1989Q1,Manufacturing,Both Sexes,224600
1989Q2,Manufacturing,Both Sexes,219100
1989Q3,Manufacturing,Both Sexes,205400
1989Q4,Manufacturing,Both Sexes,203700
1990Q1,Manufacturing,Both Sexes,211000
1990Q2,Manufacturing,Both Sexes,207200
1990Q3,Manufacturing,Both Sexes,197000
1990Q4,Manufacturing,Both Sexes,197700
1991Q1,Manufacturing,Both Sexes,204100
1991Q2,Manufacturing,Both Sexes,198200
1991Q3,Manufacturing,Both Sexes,182100
1991Q4,Manufacturing,Both Sexes,184700
1992Q1,Manufacturing,Both Sexes,194100
1992Q2,Manufacturing,Both Sexes,193300
1992Q3,Manufacturing,Both Sexes,182300
1992Q4,Manufacturing,Both Sexes,188800
1993Q1,Manufacturing,Both Sexes,197900
1993Q2,Manufacturing,Both Sexes,198300
1993Q3,Manufacturing,Both Sexes,192600
1993Q4,Manufacturing,Both Sexes,197500
1994Q1,Manufacturing,Both Sexes,205100
1994Q2,Manufacturing,Both Sexes,209900
1994Q3,Manufacturing,Both Sexes,202600
1994Q4,Manufacturing,Both Sexes,208100
1995Q1,Manufacturing,Both Sexes,213500
1995Q2,Manufacturing,Both Sexes,217300
1995Q3,Manufacturing,Both Sexes,210500
1995Q4,Manufacturing,Both Sexes,212300
1996Q1,Manufacturing,Both Sexes,214400
1996Q2,Manufacturing,Both Sexes,219900
1996Q3,Manufacturing,Both Sexes,210500
1996Q4,Manufacturing,Both Sexes,212600
1997Q1,Manufacturing,Both Sexes,209800
1997Q2,Manufacturing,Both Sexes,212000
1997Q3,Manufacturing,Both Sexes,203000
1997Q4,Manufacturing,Both Sexes,204900
1998Q1,Manufacturing,Both Sexes,203200
1998Q2,Manufacturing,Both Sexes,203800
1998Q3,Manufacturing,Both Sexes,195100
1998Q4,Manufacturing,Both Sexes,194500
1999Q1,Manufacturing,Both Sexes,200400
1999Q2,Manufacturing,Both Sexes,197800
1999Q3,Manufacturing,Both Sexes,190200
1999Q4,Manufacturing,Both Sexes,194900
2000Q1,Manufacturing,Both Sexes,199900
2000Q2,Manufacturing,Both Sexes,194900
2000Q3,Manufacturing,Both Sexes,190400
2000Q4,Manufacturing,Both Sexes,195300
2001Q1,Manufacturing,Both Sexes,200200
2001Q2,Manufacturing,Both Sexes,197800
2001Q3,Manufacturing,Both Sexes,193700
2001Q4,Manufacturing,Both Sexes,203500
2002Q1,Manufacturing,Both Sexes,209500
2002Q2,Manufacturing,Both Sexes,205200
2002Q3,Manufacturing,Both Sexes,196400
2002Q4,Manufacturing,Both Sexes,206100
2003Q1,Manufacturing,Both Sexes,212000
2003Q2,Manufacturing,Both Sexes,206300
2003Q3,Manufacturing,Both Sexes,198000
