YearQuarter,Industry,Gender,Number of Working Proprietors,Number of Part-Time Paid Employees,Number of Full-Time Paid Employees,Total Number of People in Employment
2009Q3,Forestry and Mining,Male,500,400,9800,10700
2009Q4,Forestry and Mining,Male,600,300,9300,10200
2010Q1,Forestry and Mining,Male,600,300,9300,10200
2010Q2,Forestry and Mining,Male,600,300,9900,10800
2010Q3,Forestry and Mining,Male,600,600,9900,11100
2010Q4,Forestry and Mining,Male,600,700,9200,10500
2011Q1,Forestry and Mining,Male,700,900,9300,11000
2011Q2,Forestry and Mining,Male,800,900,9000,10600
2011Q3,Forestry and Mining,Male,800,700,9100,10700
2011Q4,Forestry and Mining,Male,700,500,9400,10600
2012Q1,Forestry and Mining,Male,800,700,9500,10900
2012Q2,Forestry and Mining,Male,700,600,9400,10700
2012Q3,Forestry and Mining,Male,700,800,9900,11400
2012Q4,Forestry and Mining,Male,600,300,9600,10600
2013Q1,Forestry and Mining,Male,700,300,9800,10800
2013Q2,Forestry and Mining,Male,600,400,10000,11000
2013Q3,Forestry and Mining,Male,600,500,10100,11100
2013Q4,Forestry and Mining,Male,600,400,9700,10600
2014Q1,Forestry and Mining,Male,600,600,9000,10200
2014Q2,Forestry and Mining,Male,700,1200,8500,10400
2014Q3,Forestry and Mining,Male,600,600,8400,9600
2014Q4,Forestry and Mining,Male,500,1100,7400,9000
2015Q1,Forestry and Mining,Male,700,1000,7600,9300
2015Q2,Forestry and Mining,Male,600,800,7600,9000
2015Q3,Forestry and Mining,Male,500,500,7100,8000
2015Q4,Forestry and Mining,Male,700,1100,6500,8300
2016Q1,Forestry and Mining,Male,600,1100,6700,8400
2016Q2,Forestry and Mining,Male,700,300,7600,8700
2016Q3,Forestry and Mining,Male,600,1200,7300,9100
2016Q4,Forestry and Mining,Male,600,1400,7400,9400
2017Q1,Forestry and Mining,Male,700,1800,7200,9600
2017Q2,Forestry and Mining,Male,600,1000,7700,9300
2017Q3,Forestry and Mining,Male,700,800,7600,9200
2017Q4,Forestry and Mining,Male,700,800,7800,9200
2018Q1,Forestry and Mining,Male,700,600,7300,8600
2018Q2,Forestry and Mining,Male,800,500,7200,8600
2018Q3,Forestry and Mining,Male,600,700,7100,8500
2018Q4,Forestry and Mining,Male,600,600,7300,8500
1989Q1,Forestry and Mining,Female,200,600,1200,1900
1989Q2,Forestry and Mining,Female,200,600,1000,1800
1989Q3,Forestry and Mining,Female,200,600,900,1700
1989Q4,Forestry and Mining,Female,200,600,800,1700
1990Q1,Forestry and Mining,Female,200,500,700,1400
1990Q2,Forestry and Mining,Female,200,600,700,1600
1990Q3,Forestry and Mining,Female,200,600,800,1700
1990Q4,Forestry and Mining,Female,200,600,800,1600
1991Q1,Forestry and Mining,Female,200,500,800,1500
1991Q2,Forestry and Mining,Female,200,600,800,1600
1991Q3,Forestry and Mining,Female,300,600,800,1700
1991Q4,Forestry and Mining,Female,300,600,800,1700
1992Q1,Forestry and Mining,Female,300,500,700,1500
1992Q2,Forestry and Mining,Female,300,500,700,1400
1992Q3,Forestry and Mining,Female,300,500,700,1500
1992Q4,Forestry and Mining,Female,300,500,700,1500
1993Q1,Forestry and Mining,Female,300,600,800,1600
1993Q2,Forestry and Mining,Female,300,500,600,1400
1993Q3,Forestry and Mining,Female,300,500,600,1400
1993Q4,Forestry and Mining,Female,300,500,600,1500
1994Q1,Forestry and Mining,Female,300,500,800,1700
1994Q2,Forestry and Mining,Female,400,500,800,1600
1994Q3,Forestry and Mining,Female,400,600,800,1800
1994Q4,Forestry and Mining,Female,400,500,900,1800
1995Q1,Forestry and Mining,Female,400,600,1000,2000
1995Q2,Forestry and Mining,Female,400,400,900,1700
1995Q3,Forestry and Mining,Female,400,500,800,1700
1995Q4,Forestry and Mining,Female,400,500,800,1700
1996Q1,Forestry and Mining,Female,400,600,900,1900
1996Q2,Forestry and Mining,Female,400,400,700,1500
1996Q3,Forestry and Mining,Female,400,500,800,1600
1996Q4,Forestry and Mining,Female,300,400,800,1500
1997Q1,Forestry and Mining,Female,300,500,900,1800
1997Q2,Forestry and Mining,Female,300,300,800,1400
1997Q3,Forestry and Mining,Female,300,300,800,1500
1997Q4,Forestry and Mining,Female,300,300,800,1400
1998Q1,Forestry and Mining,Female,300,400,1100,1800
1998Q2,Forestry and Mining,Female,300,400,700,1500
1998Q3,Forestry and Mining,Female,300,400,700,1400
1998Q4,Forestry and Mining,Female,300,400,700,1400
1999Q1,Forestry and Mining,Female,300,400,600,1300
1999Q2,Forestry and Mining,Female,300,300,700,1200
1999Q3,Forestry and Mining,Female,200,300,700,1100
1999Q4,Forestry and Mining,Female,200,200,700,1100
2000Q1,Forestry and Mining,Female,200,200,800,1200
2000Q2,Forestry and Mining,Female,200,400,600,1200
2000Q3,Forestry and Mining,Female,300,300,900,1400
2000Q4,Forestry and Mining,Female,200,400,800,1500
2001Q1,Forestry and Mining,Female,200,300,800,1400
2001Q2,Forestry and Mining,Female,300,300,700,1300
2001Q3,Forestry and Mining,Female,200,300,800,1300
2001Q4,Forestry and Mining,Female,300,300,900,1500
2002Q1,Forestry and Mining,Female,300,300,900,1500
2002Q2,Forestry and Mining,Female,300,200,900,1400
2002Q3,Forestry and Mining,Female,400,300,900,1600
2002Q4,Forestry and Mining,Female,500,300,1000,1800
2003Q1,Forestry and Mining,Female,500,300,1000,1800
2003Q2,Forestry and Mining,Female,400,400,900,1700
2003Q3,Forestry and Mining,Female,400,300,900,1600
2003Q4,Forestry and Mining,Female,300,200,1000,1500
2004Q1,Forestry and Mining,Female,400,300,1000,1600
2004Q2,Forestry and Mining,Female,500,300,900,1600
2004Q3,Forestry and Mining,Female,400,300,900,1600
2004Q4,Forestry and Mining,Female,400,500,800,1700
2005Q1,Forestry and Mining,Female,400,400,800,1600
2005Q2,Forestry and Mining,Female,300,300,700,1400
2005Q3,Forestry and Mining,Female,300,400,700,1300
2005Q4,Forestry and Mining,Female,300,300,700,1300
2006Q1,Forestry and Mining,Female,300,300,700,1300
2006Q2,Forestry and Mining,Female,200,200,700,1100
2006Q3,Forestry and Mining,Female,300,300,700,1200
2006Q4,Forestry and Mining,Female,300,300,700,1300
2007Q1,Forestry and Mining,Female,300,200,600,1100
2007Q2,Forestry and Mining,Female,300,200,600,1100
2007Q3,Forestry and Mining,Female,300,200,600,1200
2007Q4,Forestry and Mining,Female,300,200,700,1100
2008Q1,Forestry and Mining,Female,300,100,600,1100
2008Q2,Forestry and Mining,Female,300,100,700,1100
2008Q3,Forestry and Mining,Female,200,100,700,1000
2008Q4,Forestry and Mining,Female,300,100,600,1000
2009Q1,Forestry and Mining,Female,300,100,600,1000
2009Q2,Forestry and Mining,Female,300,200,700,1100
2009Q3,Forestry and Mining,Female,300,100,800,1200
2009Q4,Forestry and Mining,Female,200,200,700,1100
2010Q1,Forestry and Mining,Female,200,300,900,1300
2010Q2,Forestry and Mining,Female,200,200,900,1400
2010Q3,Forestry and Mining,Female,200,200,900,1400
2010Q4,Forestry and Mining,Female,300,200,1000,1500
2011Q1,Forestry and Mining,Female,300,300,800,1400
2011Q2,Forestry and Mining,Female,300,300,900,1600
2011Q3,Forestry and Mining,Female,300,300,900,1400
2011Q4,Forestry and Mining,Female,300,400,900,1600
2012Q1,Forestry and Mining,Female,300,700,1200,2200
2012Q2,Forestry and Mining,Female,300,300,1000,1600
2012Q3,Forestry and Mining,Female,300,400,1000,1600
2012Q4,Forestry and Mining,Female,300,400,1100,1700
2013Q1,Forestry and Mining,Female,400,300,1000,1700
2013Q2,Forestry and Mining,Female,300,400,1000,1700
2013Q3,Forestry and Mining,Female,200,300,1000,1500
2013Q4,Forestry and Mining,Female,200,300,1000,1500
2014Q1,Forestry and Mining,Female,200,300,800,1300
2014Q2,Forestry and Mining,Female,200,300,800,1400
2014Q3,Forestry and Mining,Female,200,500,900,1600
2014Q4,Forestry and Mining,Female,100,400,900,1400
2015Q1,Forestry and Mining,Female,200,300,900,1400
2015Q2,Forestry and Mining,Female,200,300,900,1400
2015Q3,Forestry and Mining,Female,200,200,800,1200
2015Q4,Forestry and Mining,Female,300,200,700,1200
2016Q1,Forestry and Mining,Female,400,700,700,1800
2016Q2,Forestry and Mining,Female,400,1600,700,2600
2016Q3,Forestry and Mining,Female,300,1200,800,2300
2016Q4,Forestry and Mining,Female,300,1300,800,2400
2017Q1,Forestry and Mining,Female,400,600,800,1800
2017Q2,Forestry and Mining,Female,200,400,1000,1600
2017Q3,Forestry and Mining,Female,300,600,900,1800
2017Q4,Forestry and Mining,Female,200,700,900,1700
2018Q1,Forestry and Mining,Female,300,800,900,2000
2018Q2,Forestry and Mining,Female,200,600,900,1700
2018Q3,Forestry and Mining,Female,200,800,800,1800
2018Q4,Forestry and Mining,Female,300,600,900,1800
1989Q1,Forestry and Mining,Both Sexes,1000,1400,10200,12600
1989Q2,Forestry and Mining,Both Sexes,1000,1500,9100,11600
1989Q3,Forestry and Mining,Both Sexes,1000,1400,8900,11300
1989Q4,Forestry and Mining,Both Sexes,1100,1500,8300,10900
1990Q1,Forestry and Mining,Both Sexes,1100,1300,8400,10800
1990Q2,Forestry and Mining,Both Sexes,1100,1400,7900,10300
1990Q3,Forestry and Mining,Both Sexes,1100,1400,8500,11000
1990Q4,Forestry and Mining,Both Sexes,1100,1400,8200,10600
1991Q1,Forestry and Mining,Both Sexes,1000,1300,8900,11200
1991Q2,Forestry and Mining,Both Sexes,1100,1300,8300,10700
1991Q3,Forestry and Mining,Both Sexes,1100,1400,8300,10700
1991Q4,Forestry and Mining,Both Sexes,1100,1400,8400,10800
1992Q1,Forestry and Mining,Both Sexes,1100,1300,9100,11500
1992Q2,Forestry and Mining,Both Sexes,1200,1100,8400,10700
1992Q3,Forestry and Mining,Both Sexes,1200,1300,8400,10800
1992Q4,Forestry and Mining,Both Sexes,1200,1200,8200,10700
1993Q1,Forestry and Mining,Both Sexes,1300,1300,9900,12400
1993Q2,Forestry and Mining,Both Sexes,1300,1100,8900,11300
1993Q3,Forestry and Mining,Both Sexes,1400,1200,9000,11600
1993Q4,Forestry and Mining,Both Sexes,1500,1300,9000,11700
1994Q1,Forestry and Mining,Both Sexes,1500,1300,11000,13800
1994Q2,Forestry and Mining,Both Sexes,1600,1200,10600,13500
1994Q3,Forestry and Mining,Both Sexes,1600,1300,10600,13500
1994Q4,Forestry and Mining,Both Sexes,1700,1500,10000,13200
1995Q1,Forestry and Mining,Both Sexes,1700,1300,11600,14500
1995Q2,Forestry and Mining,Both Sexes,1700,1000,10600,13300
1995Q3,Forestry and Mining,Both Sexes,1700,1100,10700,13500
1995Q4,Forestry and Mining,Both Sexes,1600,1100,10700,13400
1996Q1,Forestry and Mining,Both Sexes,1600,1100,11900,14600
1996Q2,Forestry and Mining,Both Sexes,1600,1000,9200,11800
1996Q3,Forestry and Mining,Both Sexes,1500,1000,10400,12900
1996Q4,Forestry and Mining,Both Sexes,1500,1000,10500,12900
1997Q1,Forestry and Mining,Both Sexes,1400,1100,11500,14000
1997Q2,Forestry and Mining,Both Sexes,1400,800,10300,12400
1997Q3,Forestry and Mining,Both Sexes,1300,800,10600,12700
1997Q4,Forestry and Mining,Both Sexes,1300,800,9900,12100
1998Q1,Forestry and Mining,Both Sexes,1300,800,11800,13900
1998Q2,Forestry and Mining,Both Sexes,1200,800,10000,12100
1998Q3,Forestry and Mining,Both Sexes,1200,800,9500,11500
1998Q4,Forestry and Mining,Both Sexes,1200,900,9200,11200
1999Q1,Forestry and Mining,Both Sexes,1100,700,8800,10700
1999Q2,Forestry and Mining,Both Sexes,1100,600,8800,10500
1999Q3,Forestry and Mining,Both Sexes,1000,800,9100,10800
1999Q4,Forestry and Mining,Both Sexes,1000,700,9500,11200
2000Q1,Forestry and Mining,Both Sexes,900,500,8600,10000
2000Q2,Forestry and Mining,Both Sexes,1000,700,8700,10400
2000Q3,Forestry and Mining,Both Sexes,900,600,8600,10100
2000Q4,Forestry and Mining,Both Sexes,900,800,9100,10800
2001Q1,Forestry and Mining,Both Sexes,900,700,8900,10500
2001Q2,Forestry and Mining,Both Sexes,1100,600,9100,10700
2001Q3,Forestry and Mining,Both Sexes,800,500,9200,10500
2001Q4,Forestry and Mining,Both Sexes,1000,500,10500,12000
2002Q1,Forestry and Mining,Both Sexes,1000,500,10700,12200
2002Q2,Forestry and Mining,Both Sexes,1100,600,11400,13000
2002Q3,Forestry and Mining,Both Sexes,1300,500,12000,13800
2002Q4,Forestry and Mining,Both Sexes,1400,500,12500,14400
2003Q1,Forestry and Mining,Both Sexes,1400,500,12000,13900
2003Q2,Forestry and Mining,Both Sexes,1300,800,12200,14300
2003Q3,Forestry and Mining,Both Sexes,1400,900,12100,14400
2003Q4,Forestry and Mining,Both Sexes,1200,1000,11100,13400
2004Q1,Forestry and Mining,Both Sexes,1200,600,11200,13000
2004Q2,Forestry and Mining,Both Sexes,1300,700,11300,13300
2004Q3,Forestry and Mining,Both Sexes,1200,800,11400,13400
2004Q4,Forestry and Mining,Both Sexes,1500,900,10700,13100
2005Q1,Forestry and Mining,Both Sexes,1300,1200,10500,13000
2005Q2,Forestry and Mining,Both Sexes,900,800,10200,12000
2005Q3,Forestry and Mining,Both Sexes,1000,600,10000,11600
2005Q4,Forestry and Mining,Both Sexes,900,700,10100,11800
2006Q1,Forestry and Mining,Both Sexes,1000,600,10300,11900
2006Q2,Forestry and Mining,Both Sexes,800,500,10600,11900
2006Q3,Forestry and Mining,Both Sexes,800,600,10800,12300
2006Q4,Forestry and Mining,Both Sexes,900,600,11200,12700
2007Q1,Forestry and Mining,Both Sexes,800,600,9600,11000
2007Q2,Forestry and Mining,Both Sexes,800,500,10300,11600
2007Q3,Forestry and Mining,Both Sexes,900,500,11200,12700
2007Q4,Forestry and Mining,Both Sexes,800,400,11100,12400
2008Q1,Forestry and Mining,Both Sexes,900,500,10700,12100
2008Q2,Forestry and Mining,Both Sexes,800,500,10800,12100
2008Q3,Forestry and Mining,Both Sexes,600,500,9900,11000
2008Q4,Forestry and Mining,Both Sexes,700,600,9900,11200
2009Q1,Forestry and Mining,Both Sexes,600,400,9800,10900
2009Q2,Forestry and Mining,Both Sexes,600,400,9800,10800
2009Q3,Forestry and Mining,Both Sexes,800,600,10600,11900
2009Q4,Forestry and Mining,Both Sexes,900,500,10000,11300
2010Q1,Forestry and Mining,Both Sexes,800,500,10200,11600
2010Q2,Forestry and Mining,Both Sexes,900,500,10800,12200
2010Q3,Forestry and Mining,Both Sexes,800,800,10800,12500
2010Q4,Forestry and Mining,Both Sexes,900,900,10200,12000
2011Q1,Forestry and Mining,Both Sexes,1000,1200,10200,12400
2011Q2,Forestry and Mining,Both Sexes,1100,1200,9900,12200
2011Q3,Forestry and Mining,Both Sexes,1100,1000,10000,12100
2011Q4,Forestry and Mining,Both Sexes,1000,900,10400,12300
2012Q1,Forestry and Mining,Both Sexes,1100,1400,10700,13100
2012Q2,Forestry and Mining,Both Sexes,1000,900,10400,12300
2012Q3,Forestry and Mining,Both Sexes,900,1200,10900,13000
2012Q4,Forestry and Mining,Both Sexes,900,700,10700,12300
2013Q1,Forestry and Mining,Both Sexes,1100,600,10800,12500
2013Q2,Forestry and Mining,Both Sexes,800,800,11000,12600
2013Q3,Forestry and Mining,Both Sexes,800,800,11100,12600
2013Q4,Forestry and Mining,Both Sexes,800,600,10600,12100
2014Q1,Forestry and Mining,Both Sexes,800,900,9800,11400
2014Q2,Forestry and Mining,Both Sexes,900,1500,9400,11800
2014Q3,Forestry and Mining,Both Sexes,800,1000,9400,11200
2014Q4,Forestry and Mining,Both Sexes,600,1500,8300,10400
2015Q1,Forestry and Mining,Both Sexes,900,1300,8500,10600
2015Q2,Forestry and Mining,Both Sexes,900,1100,8400,10400
2015Q3,Forestry and Mining,Both Sexes,700,700,7900,9300
2015Q4,Forestry and Mining,Both Sexes,1000,1300,7200,9500
2016Q1,Forestry and Mining,Both Sexes,1000,1700,7400,10200
2016Q2,Forestry and Mining,Both Sexes,1100,1900,8300,11300
2016Q3,Forestry and Mining,Both Sexes,900,2400,8100,11400
2016Q4,Forestry and Mining,Both Sexes,900,2700,8200,11800
2017Q1,Forestry and Mining,Both Sexes,1100,2400,7900,11400
2017Q2,Forestry and Mining,Both Sexes,800,1400,8700,10900
2017Q3,Forestry and Mining,Both Sexes,1000,1500,8500,11000
2017Q4,Forestry and Mining,Both Sexes,800,1400,8700,11000
2018Q1,Forestry and Mining,Both Sexes,1000,1400,8200,10600
2018Q2,Forestry and Mining,Both Sexes,1000,1100,8200,10300
2018Q3,Forestry and Mining,Both Sexes,900,1500,7900,10300
2018Q4,Forestry and Mining,Both Sexes,800,1300,8200,10300
1989Q1,Manufacturing,Male,11700,4500,160000,176200
1989Q2,Manufacturing,Male,11600,5200,157000,173800
1989Q3,Manufacturing,Male,11500,5100,145700,162300
1989Q4,Manufacturing,Male,11400,5500,143700,160600
1990Q1,Manufacturing,Male,11200,5000,149100,165300
1990Q2,Manufacturing,Male,11100,5600,148500,165200
1990Q3,Manufacturing,Male,11000,5500,139400,156000
1990Q4,Manufacturing,Male,10900,5600,140200,156700
1991Q1,Manufacturing,Male,10800,4900,144700,160400
1991Q2,Manufacturing,Male,10900,5500,141700,158100
1991Q3,Manufacturing,Male,10900,5800,128500,145300
1991Q4,Manufacturing,Male,10900,6100,131200,148200
1992Q1,Manufacturing,Male,11000,5500,137200,153700
1992Q2,Manufacturing,Male,11000,6100,138800,155900
1992Q3,Manufacturing,Male,11000,6200,128600,145800
1992Q4,Manufacturing,Male,11000,7100,133400,151500
1993Q1,Manufacturing,Male,11000,5800,140000,156700
1993Q2,Manufacturing,Male,11300,7000,141900,160200
1993Q3,Manufacturing,Male,11600,7300,135800,154700
1993Q4,Manufacturing,Male,11900,7600,139700,159200
1994Q1,Manufacturing,Male,12200,6900,143600,162700
1994Q2,Manufacturing,Male,12200,8000,149600,169800
1994Q3,Manufacturing,Male,12200,8500,142300,162900
1994Q4,Manufacturing,Male,12100,8600,146300,167000
1995Q1,Manufacturing,Male,12100,7200,149100,168400
1995Q2,Manufacturing,Male,12100,8500,154300,174900
1995Q3,Manufacturing,Male,12100,8400,148500,169000
1995Q4,Manufacturing,Male,12100,8400,150100,170600
1996Q1,Manufacturing,Male,12100,7000,150800,169900
1996Q2,Manufacturing,Male,12000,8200,156600,176800
1996Q3,Manufacturing,Male,11900,8100,148600,168600
1996Q4,Manufacturing,Male,11800,8400,150800,171000
1997Q1,Manufacturing,Male,11700,7000,148600,167300
1997Q2,Manufacturing,Male,11600,8000,151100,170700
1997Q3,Manufacturing,Male,11500,8300,143800,163600
1997Q4,Manufacturing,Male,11400,8300,145300,165000
1998Q1,Manufacturing,Male,11300,7100,144000,162500
1998Q2,Manufacturing,Male,11400,8300,145100,164800
1998Q3,Manufacturing,Male,11500,8700,137700,157800
1998Q4,Manufacturing,Male,11600,9300,137200,158100
1999Q1,Manufacturing,Male,11700,8700,142400,162700
1999Q2,Manufacturing,Male,11300,8600,139700,159600
1999Q3,Manufacturing,Male,11000,8400,133200,152600
1999Q4,Manufacturing,Male,10100,9000,136200,155200
2000Q1,Manufacturing,Male,9600,8100,140600,158400
2000Q2,Manufacturing,Male,9900,8300,136500,154700
2000Q3,Manufacturing,Male,9700,7500,133200,150400
2000Q4,Manufacturing,Male,9500,7700,137000,154300
2001Q1,Manufacturing,Male,9300,9000,140600,158800
2001Q2,Manufacturing,Male,9300,8300,139200,156800
2001Q3,Manufacturing,Male,9800,8400,136100,154300
2001Q4,Manufacturing,Male,10000,8200,144000,162200
2002Q1,Manufacturing,Male,10500,9600,148500,168600
2002Q2,Manufacturing,Male,9800,9100,144800,163700
2002Q3,Manufacturing,Male,9600,8200,137300,155100
2002Q4,Manufacturing,Male,9600,8700,145100,163400
2003Q1,Manufacturing,Male,9800,8700,150100,168600
2003Q2,Manufacturing,Male,10000,7400,146700,164000
2003Q3,Manufacturing,Male,9500,7700,140000,157200
2003Q4,Manufacturing,Male,9100,8000,149500,166600
2004Q1,Manufacturing,Male,9700,8300,152600,170600
2004Q2,Manufacturing,Male,9500,8600,152000,170200
2004Q3,Manufacturing,Male,9800,7700,146700,164200
2004Q4,Manufacturing,Male,10300,7600,147200,165200
2005Q1,Manufacturing,Male,10600,6500,153400,170500
2005Q2,Manufacturing,Male,10800,6900,151800,169600
2005Q3,Manufacturing,Male,10800,8600,143500,162900
2005Q4,Manufacturing,Male,11600,7700,147100,166400
2006Q1,Manufacturing,Male,10500,8100,148800,167300
2006Q2,Manufacturing,Male,10100,6700,148500,165400
2006Q3,Manufacturing,Male,9900,6700,138400,155000
2006Q4,Manufacturing,Male,10000,7100,144200,161300
2007Q1,Manufacturing,Male,10400,7400,146200,164000
2007Q2,Manufacturing,Male,10300,6700,144200,161200
2007Q3,Manufacturing,Male,10000,7000,141400,158400
2007Q4,Manufacturing,Male,10400,6800,146900,164100
2008Q1,Manufacturing,Male,10400,6300,150900,167600
2008Q2,Manufacturing,Male,11000,7300,151200,169500
2008Q3,Manufacturing,Male,10900,6000,141000,157900
2008Q4,Manufacturing,Male,10900,6000,139400,156200
2009Q1,Manufacturing,Male,10600,5700,138300,154600
2009Q2,Manufacturing,Male,11100,5600,133900,150600
2009Q3,Manufacturing,Male,10100,5500,128000,143700
2009Q4,Manufacturing,Male,9700,5300,130700,145700
2010Q1,Manufacturing,Male,9000,6200,133800,149000
2010Q2,Manufacturing,Male,9600,5800,133200,148600
2010Q3,Manufacturing,Male,8700,5000,128900,142500
2010Q4,Manufacturing,Male,8700,6600,129500,144800
2011Q1,Manufacturing,Male,7900,5900,132600,146400
2011Q2,Manufacturing,Male,8000,5600,129400,143000
2011Q3,Manufacturing,Male,9900,7200,125000,142100
2011Q4,Manufacturing,Male,9000,7400,123000,139500
2012Q1,Manufacturing,Male,9100,6800,129400,145200
2012Q2,Manufacturing,Male,8600,5600,128100,142300
2012Q3,Manufacturing,Male,8300,6400,123200,137900
2012Q4,Manufacturing,Male,8300,6600,124500,139400
2013Q1,Manufacturing,Male,8400,5500,127400,141300
2013Q2,Manufacturing,Male,8700,5400,127400,141500
2013Q3,Manufacturing,Male,8300,5800,125000,139100
2013Q4,Manufacturing,Male,8600,6600,125000,140200
2014Q1,Manufacturing,Male,9100,6900,127500,143500
2014Q2,Manufacturing,Male,8300,6400,127400,142100
2014Q3,Manufacturing,Male,8700,6000,124800,139400
2014Q4,Manufacturing,Male,8000,6400,126300,140700
2015Q1,Manufacturing,Male,8500,5900,132400,146800
2015Q2,Manufacturing,Male,8000,6600,130700,145400
2015Q3,Manufacturing,Male,8000,6100,126000,140200
2015Q4,Manufacturing,Male,7400,6300,126300,140000
2016Q1,Manufacturing,Male,8000,5400,130200,143500
2016Q2,Manufacturing,Male,8100,6500,128400,143000
2016Q3,Manufacturing,Male,8100,6800,123000,137900
2016Q4,Manufacturing,Male,8000,6900,122800,137700
2017Q1,Manufacturing,Male,7600,8100,127300,143000
2017Q2,Manufacturing,Male,8700,7800,129300,145800
2017Q3,Manufacturing,Male,8400,7300,125700,141400
