YearQuarter,Industry,Gender,Average Weekly Ordinary Time Hours Paid,Average Weekly Overtime Hours Paid,Average Total (Ordinary Time + Overtime) Weekly Hours Paid
2012Q4,Forestry and Mining,Male,41.57,1.29,42.87
2013Q1,Forestry and Mining,Male,39.45,1.5,40.95
2013Q2,Forestry and Mining,Male,39.66,1.21,40.87
2013Q3,Forestry and Mining,Male,39.2,1.04,40.24
2013Q4,Forestry and Mining,Male,39.21,1.31,40.53
2014Q1,Forestry and Mining,Male,38.21,1.53,39.74
2014Q2,Forestry and Mining,Male,37.94,1.74,39.68
2014Q3,Forestry and Mining,Male,39.5,1.55,41.05
2014Q4,Forestry and Mining,Male,39.33,2.73,42.05
2015Q1,Forestry and Mining,Male,38.16,2.56,40.72
2015Q2,Forestry and Mining,Male,39.54,1.98,41.52
2015Q3,Forestry and Mining,Male,40.89,1.63,42.52
2015Q4,Forestry and Mining,Male,37.86,1.89,39.75
2016Q1,Forestry and Mining,Male,38.09,2.01,40.1
2016Q2,Forestry and Mining,Male,38.86,2.11,40.97
2016Q3,Forestry and Mining,Male,35.09,1.41,36.5
2016Q4,Forestry and Mining,Male,38.2,1.78,39.97
2017Q1,Forestry and Mining,Male,35.58,2.09,37.67
2017Q2,Forestry and Mining,Male,39.79,2.6,42.39
2017Q3,Forestry and Mining,Male,40.52,1.51,42.03
2017Q4,Forestry and Mining,Male,40.5,2.63,43.14
2018Q1,Forestry and Mining,Male,39.59,2.05,41.63
2018Q2,Forestry and Mining,Male,40.44,2.62,43.06
2018Q3,Forestry and Mining,Male,40.89,2.09,42.98
2018Q4,Forestry and Mining,Male,41.19,3.15,44.34
1989Q1,Forestry and Mining,Female,27.91,0.59,28.49
1989Q2,Forestry and Mining,Female,26.42,0.57,26.99
1989Q3,Forestry and Mining,Female,25.45,0.44,25.89
1989Q4,Forestry and Mining,Female,24.15,0.38,24.54
1990Q1,Forestry and Mining,Female,23.68,0.37,24.05
1990Q2,Forestry and Mining,Female,23.76,0.28,24.04
1990Q3,Forestry and Mining,Female,26.14,0.25,26.39
1990Q4,Forestry and Mining,Female,26.06,0.31,26.37
1991Q1,Forestry and Mining,Female,26.53,0.32,26.85
1991Q2,Forestry and Mining,Female,26.14,0.26,26.4
1991Q3,Forestry and Mining,Female,25.68,0.18,25.86
1991Q4,Forestry and Mining,Female,25.49,0.18,25.67
1992Q1,Forestry and Mining,Female,26.16,0.44,26.6
1992Q2,Forestry and Mining,Female,26.27,0.45,26.72
1992Q3,Forestry and Mining,Female,26.04,0.43,26.47
1992Q4,Forestry and Mining,Female,24.79,0.41,25.21
1993Q1,Forestry and Mining,Female,25.25,0.44,25.69
1993Q2,Forestry and Mining,Female,25.18,0.43,25.61
1993Q3,Forestry and Mining,Female,24.62,0.35,24.97
1993Q4,Forestry and Mining,Female,24.72,0.45,25.17
1994Q1,Forestry and Mining,Female,26.75,0.55,27.31
1994Q2,Forestry and Mining,Female,27.97,0.76,28.72
1994Q3,Forestry and Mining,Female,27.64,0.48,28.12
1994Q4,Forestry and Mining,Female,28.3,0.25,28.54
1995Q1,Forestry and Mining,Female,28.57,0.35,28.92
1995Q2,Forestry and Mining,Female,28.22,0.48,28.7
1995Q3,Forestry and Mining,Female,26.82,0.24,27.06
1995Q4,Forestry and Mining,Female,28.16,0.29,28.45
1996Q1,Forestry and Mining,Female,28.53,0.28,28.82
1996Q2,Forestry and Mining,Female,28.04,0.33,28.37
1996Q3,Forestry and Mining,Female,29.13,0.25,29.38
1996Q4,Forestry and Mining,Female,29.28,0.22,29.5
1997Q1,Forestry and Mining,Female,29.06,0.24,29.3
1997Q2,Forestry and Mining,Female,30.41,0.29,30.71
1997Q3,Forestry and Mining,Female,30.69,0.23,30.92
1997Q4,Forestry and Mining,Female,30.4,0.24,30.64
1998Q1,Forestry and Mining,Female,29.24,0.31,29.55
1998Q2,Forestry and Mining,Female,29.14,0.26,29.39
1998Q3,Forestry and Mining,Female,28.98,0.22,29.2
1998Q4,Forestry and Mining,Female,28.63,0.32,28.95
1999Q1,Forestry and Mining,Female,29.35,0.33,29.68
1999Q2,Forestry and Mining,Female,30.08,0.3,30.37
1999Q3,Forestry and Mining,Female,30.34,0.44,30.78
1999Q4,Forestry and Mining,Female,30.1,1.32,31.42
2000Q1,Forestry and Mining,Female,33.1,0.26,33.36
2000Q2,Forestry and Mining,Female,29.08,0.68,29.76
2000Q3,Forestry and Mining,Female,31,0.49,31.49
2000Q4,Forestry and Mining,Female,25.69,1.26,26.96
2001Q1,Forestry and Mining,Female,31.7,0.78,32.47
2001Q2,Forestry and Mining,Female,33.27,1.03,34.29
2001Q3,Forestry and Mining,Female,32.44,0.83,33.27
2001Q4,Forestry and Mining,Female,31.66,0.43,32.09
2002Q1,Forestry and Mining,Female,32.85,1.5,34.36
2002Q2,Forestry and Mining,Female,35.13,0.84,35.97
2002Q3,Forestry and Mining,Female,32.66,1.18,33.84
2002Q4,Forestry and Mining,Female,34.32,1.43,35.75
2003Q1,Forestry and Mining,Female,32.29,0.88,33.17
2003Q2,Forestry and Mining,Female,32.31,0.71,33.02
2003Q3,Forestry and Mining,Female,32.29,0.45,32.74
2003Q4,Forestry and Mining,Female,32.17,0.62,32.8
2004Q1,Forestry and Mining,Female,33.35,0.44,33.78
2004Q2,Forestry and Mining,Female,33.31,0.48,33.79
2004Q3,Forestry and Mining,Female,30.36,0.4,30.75
2004Q4,Forestry and Mining,Female,29.66,0.37,30.02
2005Q1,Forestry and Mining,Female,31.35,0.71,32.06
2005Q2,Forestry and Mining,Female,30.55,0.67,31.22
2005Q3,Forestry and Mining,Female,29.59,0.42,30
2005Q4,Forestry and Mining,Female,31.25,0.47,31.71
2006Q1,Forestry and Mining,Female,31.78,0.91,32.7
2006Q2,Forestry and Mining,Female,32.94,0.76,33.7
2006Q3,Forestry and Mining,Female,33,0.67,33.68
2006Q4,Forestry and Mining,Female,33.46,0.94,34.4
2007Q1,Forestry and Mining,Female,33.11,0.79,33.9
2007Q2,Forestry and Mining,Female,34.58,0.89,35.47
2007Q3,Forestry and Mining,Female,35.06,0.89,35.95
2007Q4,Forestry and Mining,Female,34.07,1.13,35.2
2008Q1,Forestry and Mining,Female,37.44,0.91,38.35
2008Q2,Forestry and Mining,Female,36.36,1.72,38.08
2008Q3,Forestry and Mining,Female,35.9,0.86,36.76
2008Q4,Forestry and Mining,Female,36.39,1.02,37.42
2009Q1,Forestry and Mining,Female,35.93,0.94,36.87
2009Q2,Forestry and Mining,Female,36.35,1.15,37.5
2009Q3,Forestry and Mining,Female,36.4,0.91,37.31
2009Q4,Forestry and Mining,Female,34.17,0.79,34.96
2010Q1,Forestry and Mining,Female,32.96,0.73,33.69
2010Q2,Forestry and Mining,Female,33.78,0.56,34.34
2010Q3,Forestry and Mining,Female,34.42,0.7,35.12
2010Q4,Forestry and Mining,Female,34.44,0.51,34.95
2011Q1,Forestry and Mining,Female,32.15,0.47,32.62
2011Q2,Forestry and Mining,Female,30.83,0.69,31.52
2011Q3,Forestry and Mining,Female,34.53,0.64,35.17
2011Q4,Forestry and Mining,Female,33.73,0.51,34.24
2012Q1,Forestry and Mining,Female,25.03,0.44,25.47
2012Q2,Forestry and Mining,Female,30.96,1.01,31.96
2012Q3,Forestry and Mining,Female,32.89,0.78,33.67
2012Q4,Forestry and Mining,Female,35.22,0.4,35.62
2013Q1,Forestry and Mining,Female,35.63,0.83,36.46
2013Q2,Forestry and Mining,Female,33.51,0.72,34.23
2013Q3,Forestry and Mining,Female,34.18,0.33,34.51
2013Q4,Forestry and Mining,Female,34.24,0.42,34.66
2014Q1,Forestry and Mining,Female,32.18,0.98,33.16
2014Q2,Forestry and Mining,Female,33.06,0.82,33.89
2014Q3,Forestry and Mining,Female,28.11,0.71,28.82
2014Q4,Forestry and Mining,Female,28.99,0.8,29.79
2015Q1,Forestry and Mining,Female,31.41,1.38,32.79
2015Q2,Forestry and Mining,Female,31.77,0.77,32.54
2015Q3,Forestry and Mining,Female,34.46,0.69,35.15
2015Q4,Forestry and Mining,Female,34.22,0.62,34.84
2016Q1,Forestry and Mining,Female,23.85,0.79,24.63
2016Q2,Forestry and Mining,Female,16.4,0.5,16.9
2016Q3,Forestry and Mining,Female,18.26,0.45,18.71
2016Q4,Forestry and Mining,Female,19.2,0.34,19.53
2017Q1,Forestry and Mining,Female,25.65,0.54,26.19
2017Q2,Forestry and Mining,Female,30.13,1.07,31.19
2017Q3,Forestry and Mining,Female,26.3,0.58,26.88
2017Q4,Forestry and Mining,Female,27.1,1.2,28.3
2018Q1,Forestry and Mining,Female,25.16,0.73,25.89
2018Q2,Forestry and Mining,Female,28.51,0.55,29.06
2018Q3,Forestry and Mining,Female,26.18,0.49,26.66
2018Q4,Forestry and Mining,Female,26.85,0.99,27.84
1989Q1,Forestry and Mining,Both Sexes,36.28,2.77,39.05
1989Q2,Forestry and Mining,Both Sexes,35.34,2.53,37.86
1989Q3,Forestry and Mining,Both Sexes,35.48,2.46,37.95
1989Q4,Forestry and Mining,Both Sexes,34.61,2.88,37.49
1990Q1,Forestry and Mining,Both Sexes,35.17,2.56,37.73
1990Q2,Forestry and Mining,Both Sexes,35.01,2.67,37.68
1990Q3,Forestry and Mining,Both Sexes,35.1,2.19,37.29
1990Q4,Forestry and Mining,Both Sexes,35.24,2.79,38.04
1991Q1,Forestry and Mining,Both Sexes,36.03,2.5,38.54
1991Q2,Forestry and Mining,Both Sexes,35.88,2.49,38.37
1991Q3,Forestry and Mining,Both Sexes,35.91,2.29,38.2
1991Q4,Forestry and Mining,Both Sexes,35.24,2.6,37.84
1992Q1,Forestry and Mining,Both Sexes,36.27,2.99,39.27
1992Q2,Forestry and Mining,Both Sexes,36.7,3.3,40
1992Q3,Forestry and Mining,Both Sexes,36.36,2.9,39.25
1992Q4,Forestry and Mining,Both Sexes,36.13,3.1,39.23
1993Q1,Forestry and Mining,Both Sexes,36.49,2.65,39.14
1993Q2,Forestry and Mining,Both Sexes,36.52,3.03,39.55
1993Q3,Forestry and Mining,Both Sexes,36.26,2.65,38.91
1993Q4,Forestry and Mining,Both Sexes,36.33,3.08,39.42
1994Q1,Forestry and Mining,Both Sexes,37,3.04,40.03
1994Q2,Forestry and Mining,Both Sexes,36.91,2.55,39.46
1994Q3,Forestry and Mining,Both Sexes,36.73,2.42,39.14
1994Q4,Forestry and Mining,Both Sexes,36.56,2.43,38.99
1995Q1,Forestry and Mining,Both Sexes,37.45,2.61,40.06
1995Q2,Forestry and Mining,Both Sexes,38.36,2.7,41.06
1995Q3,Forestry and Mining,Both Sexes,38.07,2.39,40.46
1995Q4,Forestry and Mining,Both Sexes,38.8,2.74,41.54
1996Q1,Forestry and Mining,Both Sexes,37.8,2.36,40.16
1996Q2,Forestry and Mining,Both Sexes,38.1,2.63,40.73
1996Q3,Forestry and Mining,Both Sexes,37.95,2.01,39.95
1996Q4,Forestry and Mining,Both Sexes,37.44,2.38,39.82
1997Q1,Forestry and Mining,Both Sexes,37.71,2.24,39.95
1997Q2,Forestry and Mining,Both Sexes,38.07,2.34,40.4
1997Q3,Forestry and Mining,Both Sexes,37.13,1.7,38.83
1997Q4,Forestry and Mining,Both Sexes,37.47,2.02,39.48
1998Q1,Forestry and Mining,Both Sexes,36.5,1.73,38.23
1998Q2,Forestry and Mining,Both Sexes,36.91,1.88,38.79
1998Q3,Forestry and Mining,Both Sexes,37.02,1.71,38.73
1998Q4,Forestry and Mining,Both Sexes,36.75,2.03,38.78
1999Q1,Forestry and Mining,Both Sexes,37.33,2.25,39.58
1999Q2,Forestry and Mining,Both Sexes,37.47,2,39.47
1999Q3,Forestry and Mining,Both Sexes,37.72,1.97,39.69
1999Q4,Forestry and Mining,Both Sexes,38.97,1.7,40.67
2000Q1,Forestry and Mining,Both Sexes,39.41,2.15,41.55
2000Q2,Forestry and Mining,Both Sexes,38.79,2.06,40.85
2000Q3,Forestry and Mining,Both Sexes,38.37,1.46,39.83
2000Q4,Forestry and Mining,Both Sexes,38.83,1.92,40.75
2001Q1,Forestry and Mining,Both Sexes,38.52,1.9,40.43
2001Q2,Forestry and Mining,Both Sexes,38.32,1.77,40.09
2001Q3,Forestry and Mining,Both Sexes,38.97,1.69,40.66
2001Q4,Forestry and Mining,Both Sexes,39.77,1.75,41.51
2002Q1,Forestry and Mining,Both Sexes,38.5,2.4,40.9
2002Q2,Forestry and Mining,Both Sexes,39.17,1.95,41.12
2002Q3,Forestry and Mining,Both Sexes,39.69,1.55,41.24
2002Q4,Forestry and Mining,Both Sexes,39.38,1.87,41.25
2003Q1,Forestry and Mining,Both Sexes,39.49,2.7,42.19
2003Q2,Forestry and Mining,Both Sexes,38.58,1.69,40.27
2003Q3,Forestry and Mining,Both Sexes,36.22,1.27,37.49
2003Q4,Forestry and Mining,Both Sexes,38.05,1.65,39.69
2004Q1,Forestry and Mining,Both Sexes,38.58,1.53,40.11
2004Q2,Forestry and Mining,Both Sexes,37.29,1.6,38.89
2004Q3,Forestry and Mining,Both Sexes,36.33,1.53,37.86
2004Q4,Forestry and Mining,Both Sexes,37.76,1.89,39.65
2005Q1,Forestry and Mining,Both Sexes,36.61,1.74,38.35
2005Q2,Forestry and Mining,Both Sexes,37.44,1.63,39.07
2005Q3,Forestry and Mining,Both Sexes,37.64,1.32,38.97
2005Q4,Forestry and Mining,Both Sexes,38.1,1.68,39.78
2006Q1,Forestry and Mining,Both Sexes,37.39,1.54,38.93
2006Q2,Forestry and Mining,Both Sexes,37.71,1.47,39.18
2006Q3,Forestry and Mining,Both Sexes,38.3,1.33,39.63
2006Q4,Forestry and Mining,Both Sexes,38.43,1.45,39.88
2007Q1,Forestry and Mining,Both Sexes,38.63,1.72,40.35
2007Q2,Forestry and Mining,Both Sexes,39.68,1.56,41.24
2007Q3,Forestry and Mining,Both Sexes,38.99,1.38,40.36
2007Q4,Forestry and Mining,Both Sexes,39.09,1.57,40.66
2008Q1,Forestry and Mining,Both Sexes,38.98,1.46,40.44
2008Q2,Forestry and Mining,Both Sexes,38.75,1.83,40.58
2008Q3,Forestry and Mining,Both Sexes,39.67,1.33,41
2008Q4,Forestry and Mining,Both Sexes,39.22,1.43,40.65
2009Q1,Forestry and Mining,Both Sexes,39.18,1.37,40.55
2009Q2,Forestry and Mining,Both Sexes,38.34,1.41,39.76
2009Q3,Forestry and Mining,Both Sexes,39.96,1.13,41.09
2009Q4,Forestry and Mining,Both Sexes,39.92,1.48,41.4
2010Q1,Forestry and Mining,Both Sexes,39.74,1.54,41.28
2010Q2,Forestry and Mining,Both Sexes,40.09,1.21,41.3
2010Q3,Forestry and Mining,Both Sexes,38.64,1.37,40.01
2010Q4,Forestry and Mining,Both Sexes,38.66,1.21,39.87
2011Q1,Forestry and Mining,Both Sexes,37.87,1.43,39.3
2011Q2,Forestry and Mining,Both Sexes,38,1.11,39.11
2011Q3,Forestry and Mining,Both Sexes,37.74,1.11,38.85
2011Q4,Forestry and Mining,Both Sexes,40.49,1.19,41.68
2012Q1,Forestry and Mining,Both Sexes,39.04,1.53,40.57
2012Q2,Forestry and Mining,Both Sexes,39.29,1.41,40.71
2012Q3,Forestry and Mining,Both Sexes,39.95,1.16,41.11
2012Q4,Forestry and Mining,Both Sexes,40.78,1.18,41.96
2013Q1,Forestry and Mining,Both Sexes,39,1.42,40.43
2013Q2,Forestry and Mining,Both Sexes,38.94,1.15,40.09
2013Q3,Forestry and Mining,Both Sexes,38.65,0.96,39.61
2013Q4,Forestry and Mining,Both Sexes,38.67,1.22,39.88
2014Q1,Forestry and Mining,Both Sexes,37.6,1.48,39.07
2014Q2,Forestry and Mining,Both Sexes,37.42,1.64,39.06
2014Q3,Forestry and Mining,Both Sexes,37.96,1.44,39.4
2014Q4,Forestry and Mining,Both Sexes,37.97,2.47,40.44
2015Q1,Forestry and Mining,Both Sexes,37.33,2.41,39.74
2015Q2,Forestry and Mining,Both Sexes,38.58,1.83,40.41
2015Q3,Forestry and Mining,Both Sexes,40.12,1.52,41.64
2015Q4,Forestry and Mining,Both Sexes,37.49,1.76,39.25
2016Q1,Forestry and Mining,Both Sexes,35.98,1.83,37.81
2016Q2,Forestry and Mining,Both Sexes,33.86,1.75,35.61
2016Q3,Forestry and Mining,Both Sexes,31.88,1.22,33.1
2016Q4,Forestry and Mining,Both Sexes,34.53,1.5,36.03
2017Q1,Forestry and Mining,Both Sexes,34.21,1.88,36.09
2017Q2,Forestry and Mining,Both Sexes,38.44,2.39,40.83
2017Q3,Forestry and Mining,Both Sexes,38.3,1.36,39.66
2017Q4,Forestry and Mining,Both Sexes,38.45,2.41,40.86
2018Q1,Forestry and Mining,Both Sexes,36.98,1.81,38.79
2018Q2,Forestry and Mining,Both Sexes,38.49,2.28,40.77
2018Q3,Forestry and Mining,Both Sexes,38.44,1.82,40.27
2018Q4,Forestry and Mining,Both Sexes,38.86,2.79,41.65
1989Q1,Manufacturing,Male,36.68,3.91,40.58
1989Q2,Manufacturing,Male,36.28,3.74,40.02
1989Q3,Manufacturing,Male,36.63,3.62,40.25
1989Q4,Manufacturing,Male,37.21,4.1,41.32
1990Q1,Manufacturing,Male,36.92,4.27,41.19
1990Q2,Manufacturing,Male,36.61,4.25,40.86
1990Q3,Manufacturing,Male,36.73,3.47,40.2
1990Q4,Manufacturing,Male,36.82,3.9,40.71
1991Q1,Manufacturing,Male,37.03,3.65,40.68
1991Q2,Manufacturing,Male,36.49,3.21,39.7
1991Q3,Manufacturing,Male,36.93,2.92,39.85
1991Q4,Manufacturing,Male,37,3.56,40.56
1992Q1,Manufacturing,Male,37.33,3.67,41
1992Q2,Manufacturing,Male,37.05,3.43,40.48
1992Q3,Manufacturing,Male,36.97,3.11,40.08
1992Q4,Manufacturing,Male,37.34,3.84,41.18
1993Q1,Manufacturing,Male,37.7,3.92,41.62
1993Q2,Manufacturing,Male,37.22,3.44,40.66
1993Q3,Manufacturing,Male,37.56,3.38,40.94
1993Q4,Manufacturing,Male,37.49,3.95,41.44
1994Q1,Manufacturing,Male,37.54,3.71,41.25
1994Q2,Manufacturing,Male,37.74,3.84,41.58
1994Q3,Manufacturing,Male,37.66,3.72,41.38
1994Q4,Manufacturing,Male,37.74,4.15,41.9
1995Q1,Manufacturing,Male,37.74,3.96,41.7
1995Q2,Manufacturing,Male,37.77,3.58,41.34
1995Q3,Manufacturing,Male,37.39,3.27,40.66
1995Q4,Manufacturing,Male,37.69,3.82,41.51
1996Q1,Manufacturing,Male,37.66,3.65,41.31
1996Q2,Manufacturing,Male,37.42,3.24,40.66
1996Q3,Manufacturing,Male,37.48,3.07,40.55
1996Q4,Manufacturing,Male,37.63,3.72,41.35
1997Q1,Manufacturing,Male,37.53,3.39,40.91
1997Q2,Manufacturing,Male,37.65,3.21,40.85
1997Q3,Manufacturing,Male,37.47,2.98,40.45
1997Q4,Manufacturing,Male,37.24,3.36,40.6
1998Q1,Manufacturing,Male,37.52,3.24,40.76
1998Q2,Manufacturing,Male,36.94,2.54,39.48
1998Q3,Manufacturing,Male,37.19,2.46,39.65
1998Q4,Manufacturing,Male,37.25,2.96,40.2
1999Q1,Manufacturing,Male,37.69,2.79,40.48
1999Q2,Manufacturing,Male,37.38,2.59,39.97
1999Q3,Manufacturing,Male,37.59,2.57,40.16
1999Q4,Manufacturing,Male,37.81,3.01,40.82
2000Q1,Manufacturing,Male,37.96,2.79,40.75
2000Q2,Manufacturing,Male,37.9,2.53,40.43
2000Q3,Manufacturing,Male,38.06,2.44,40.5
2000Q4,Manufacturing,Male,38.35,2.93,41.27
2001Q1,Manufacturing,Male,38.02,2.85,40.87
2001Q2,Manufacturing,Male,38.34,2.87,41.21
2001Q3,Manufacturing,Male,37.59,2.53,40.12
2001Q4,Manufacturing,Male,37.88,2.77,40.65
2002Q1,Manufacturing,Male,37.83,2.68,40.51
2002Q2,Manufacturing,Male,38.24,2.83,41.08
2002Q3,Manufacturing,Male,38.43,2.56,40.99
2002Q4,Manufacturing,Male,37.95,2.96,40.91
2003Q1,Manufacturing,Male,38.59,2.95,41.54
2003Q2,Manufacturing,Male,38.4,2.56,40.97
2003Q3,Manufacturing,Male,38.41,2.49,40.9
2003Q4,Manufacturing,Male,37.25,2.77,40.03
2004Q1,Manufacturing,Male,38.73,2.8,41.53
2004Q2,Manufacturing,Male,38.34,2.74,41.07
2004Q3,Manufacturing,Male,38.34,2.6,40.93
2004Q4,Manufacturing,Male,38.43,2.82,41.25
2005Q1,Manufacturing,Male,38.57,2.78,41.35
2005Q2,Manufacturing,Male,38.45,2.76,41.2
2005Q3,Manufacturing,Male,37.78,2.09,39.86
2005Q4,Manufacturing,Male,37.7,2.41,40.1
2006Q1,Manufacturing,Male,37.49,2.24,39.73
2006Q2,Manufacturing,Male,37.78,2.39,40.17
2006Q3,Manufacturing,Male,38.41,2.19,40.6
2006Q4,Manufacturing,Male,38.03,2.35,40.38
2007Q1,Manufacturing,Male,38.25,2.37,40.62
2007Q2,Manufacturing,Male,38.29,2.19,40.48
2007Q3,Manufacturing,Male,37.78,2.13,39.91
2007Q4,Manufacturing,Male,37.92,2.42,40.34
2008Q1,Manufacturing,Male,38.36,2.74,41.1
2008Q2,Manufacturing,Male,38.17,2.36,40.53
2008Q3,Manufacturing,Male,37.65,2.14,39.79
2008Q4,Manufacturing,Male,37.2,2.18,39.38
2009Q1,Manufacturing,Male,37.63,2.29,39.92
2009Q2,Manufacturing,Male,37.47,1.93,39.4
2009Q3,Manufacturing,Male,37.76,1.66,39.42
2009Q4,Manufacturing,Male,37.84,1.88,39.72
2010Q1,Manufacturing,Male,37.75,1.74,39.49
2010Q2,Manufacturing,Male,38.22,2.11,40.33
2010Q3,Manufacturing,Male,38,1.96,39.97
2010Q4,Manufacturing,Male,38.35,2.01,40.35
2011Q1,Manufacturing,Male,37.97,1.93,39.9
2011Q2,Manufacturing,Male,38.51,2.01,40.52
2011Q3,Manufacturing,Male,38.07,1.98,40.05
2011Q4,Manufacturing,Male,37.72,1.88,39.6
